name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Noches de Sangre;Card Game;2015;Fidel Montesino;16;5.81115;148;1;6;GDM Games
The Guardians: Explore;Card Game;2016;Jonathon Ruland;13;7.56724;87;1;5;Reihon Games LLC
L'osti d'jeu;Card Game;2014;NA;18;6.24545;110;3;30;Randolph Pub Ludique
AEG Black Friday Black Box;NA;2014;NA;12;7.08862;123;2;6;Alderac Entertainment Group (AEG)
Night of Man;Modern Warfare;2015;Mark H. Walker;12;7.95;50;1;3;Flying Pig Games
Maximum Throwdown: Overload;Action / Dexterity;2014;Jason Tagmire;0;4.89385;65;2;6;Alderac Entertainment Group (AEG)
Dark Seas;Dice;2015;Anthony Rubbo;14;6.30866;359;2;4;Alderac Entertainment Group (AEG)
Centauri Saga;Adventure;2016;Constantine Kevorque;12;6.79397;141;1;4;Vesuvius Media
Wombat Rescue;Animals;2015;Matt Wolfe;10;6.70919;246;1;4;Eagle-Gryphon Games
Atak Zombie;Fighting;2014;Piotr Pieńkowski;12;6.33852;122;2;4;Foxgames (Poland)
BoardGameGeek: The Card Game;Card Game;2015;Candy Weber;8;5.70738;122;2;6;Game Salute
The Curse of the Black Dice;Adventure;2015;Alexander Lauck;14;6.62696;191;2;4;Board&Dice
Dino Dude Ranch;Children's Game;2016;Dan Letzring;8;7.61524;82;2;5;Letiman Games
Valeria: Card Kingdoms;Card Game;2016;Isaias Vallejo;13;7.55429;1271;1;5;Daily Magic Games
Old School Tactical;Wargame;2016;Shayne Logan;0;8.19011;89;2;2;Flying Pig Games
Bad Medicine;Card Game;2015;Gil Hova;16;6.94985;138;3;8;Formal Ferret Games
The Foreign King;Industry / Manufacturing;2015;Javier Garcia;12;6.52237;152;2;4;Giochix.it
Doctor Panic;Action / Dexterity;2016;Roberto Fraga;7;6.46109;202;2;9;Repos Production
Starfighter;Card Game;2015;Stéphane Boudin;13;7.21127;338;2;2;Ystari Games
Victory Roads;Wargame;2015;Nicolas Rident;12;8.27531;81;2;2;Hexasim
Bad Bunnies;Card Game;2015;Jacques Zeimet;8;5.2902;102;2;6;Schmidt Spiele
Commissioned;Ancient;2016;Patrick Lysaght;13;7.53751;301;2;6;Chara Games
Vienna;NA;2015;Johannes Schmidauer-König;10;6.56348;293;3;5;Schmidt Spiele
Think Str8!;Deduction;2015;Leo Colovini;10;6.90954;108;2;4;HUCH! & friends
Orléans: Deluxe Edition;Medieval;2015;Reiner Stockhausen;12;8.39296;1076;2;5;Tasty Minstrel Games
Shadowstar Corsairs;Adventure;2016;Ryan Wolfe;13;7.62714;70;2;5;0 hr art & technology
Bottlecap Vikings;City Building;2015;Andy Van Zandt;8;5.33061;277;2;4;Tasty Minstrel Games
Fairytale Gloom;Card Game;2015;Keith Baker;13;6.68153;274;2;5;Atlas Games
Ascension: Dawn of Champions;Card Game;2015;Justin Gary;13;7.47696;375;1;4;Stone Blade Entertainment
Da Luigi;NA;2015;Rüdiger Dorn;8;6.427;150;2;4;KOSMOS
